FID,geom,oltyp_nimi,til_vuosi,tunn,onimi,olo,oltyp,euref_x,euref_y
oppilaitokset.1,POINT (340457 7007583),Peruskoulut,2022,08871,Aapiskujan koulu,0,11,340457,7007583
oppilaitokset.2,POINT (378364 6673700),Peruskoulut,2022,03117,Aarnivalkean koulu,0,11,378364,6673700
oppilaitokset.3,POINT (375536 6749656),Peruskouluasteen erityiskoulut,2022,03874,Aavan koulu,0,12,375536,6749656
oppilaitokset.4,POINT (397507 6697358),Peruskoulut,2022,03584,Ahjon koulu,0,11,397507,6697358
oppilaitokset.5,POINT (215972 6849370),Peruskoulut,2022,05773,Ahlaisten koulu,0,11,215972,6849370
oppilaitokset.6,POINT (211008 6871096),Peruskoulut,2022,08458,Ahlströmin alakoulu,0,11,211008,6871096
oppilaitokset.7,POINT (238415 6785519),Peruskouluasteen erityiskoulut,2022,08374,Ahmasojan koulu,0,12,238415,6785519
oppilaitokset.8,POINT (533708 6994629),Peruskoulut,2022,07735,Ahmon koulu,0,11,533708,6994629
oppilaitokset.9,POINT (649444 6955633),Peruskoulut,2022,06811,Ahokkalan koulu,0,11,649444,6955633
oppilaitokset.10,POINT (279452 6967005),Peruskoulut,2022,07046,Ahonkylän koulu,0,11,279452,6967005
oppilaitokset.11,POINT (403991 7090919),Peruskoulut,2022,06565,Ahteen koulu,0,11,403991,7090919
oppilaitokset.12,POINT (433570 6763812),Peruskoulut,2022,03636,Ahtialan peruskoulu,0,11,433570,6763812
oppilaitokset.13,POINT (331463 6817040),Peruskoulut,2022,08656,Ahvenisjärven koulu,0,11,331463,6817040
oppilaitokset.14,POINT (350614 7358326),Peruskoulut,2022,04397,Ainiovaaran peruskoulu,0,11,350614,7358326
oppilaitokset.15,POINT (366003 6802998),Peruskoulut,2022,04753,Aitoon koulu,0,11,366003,6802998
oppilaitokset.16,POINT (492873 6706365),Peruskoulut,2022,06616,Aittakorven koulu,0,11,492873,6706365
oppilaitokset.17,POINT (400987 7082128),Peruskoulut,2022,06566,Aittolan koulu,0,11,400987,7082128
oppilaitokset.18,POINT (331679 6784866),Lukiot,2022,00827,Akaan lukio,0,15,331679,6784866
oppilaitokset.19,POINT (315885 6746030),Peruskoulut,2022,08181,Akvarellin koulu,0,11,315885,6746030
oppilaitokset.20,POINT (292086 7018735),Peruskoulut,2022,05555,Alahärmän Kirkonkylän koulu,0,11,292086,7018735
oppilaitokset.21,POINT (339034 6990412),Lukiot,2022,00002,Alajärven lukio,0,15,339034,6990412
oppilaitokset.22,POINT (339053 6990381),Peruskoulut,2022,06593,Alajärven yläkoulu,0,11,339053,6990381
oppilaitokset.23,POINT (437886 7372132),Peruskoulut,2022,04279,Alakorkalon koulu,0,11,437886,7372132
oppilaitokset.24,POINT (409388 7472423),Peruskoulut,2022,04108,Alakylän koulu,0,11,409388,7472423
oppilaitokset.25,POINT (436014 7225856),Peruskoulut,2022,06548,Alakylän koulu,0,11,436014,7225856
oppilaitokset.26,POINT (332112 6992614),Peruskoulut,2022,06594,Alakylän koulu,0,11,332112,6992614
oppilaitokset.27,POINT (284558 6969478),Peruskoulut,2022,06899,Alakylän koulu,0,11,284558,6969478
oppilaitokset.28,POINT (297540 6985729),Peruskoulut,2022,06788,Alanurmon koulu,0,11,297540,6985729
oppilaitokset.29,POINT (527093 7008176),Peruskoulut,2022,06018,Alapitkän koulu,0,11,527093,7008176
oppilaitokset.30,POINT (421226 7245110),Peruskoulut,2022,07782,Alarannan koulu,0,11,421226,7245110
oppilaitokset.31,POINT (433007 6762602),Peruskoulut,2022,07903,Alasenjärven peruskoulu,0,11,433007,6762602
oppilaitokset.32,POINT (533886 6973118),Peruskouluasteen erityiskoulut,2022,03294,Alavan koulu,0,12,533886,6973118
oppilaitokset.33,POINT (368813 7118190),Peruskoulut,2022,06252,Alavieskan yhtenäiskoulu,0,11,368813,7118190
oppilaitokset.34,POINT (293687 6950313),Peruskoulut,2022,06931,Alaviitalan koulu,0,11,293687,6950313
oppilaitokset.35,POINT (326201 6944738),Lukiot,2022,00003,Alavuden lukio,0,15,326201,6944738
oppilaitokset.36,POINT (326543 6944697),Peruskoulut,2022,05295,Alavuden yläkoulu,0,11,326543,6944697
oppilaitokset.37,POINT (379645 6678661),Peruskoulut,2022,03148,Alberga skola,0,11,379645,6678661
oppilaitokset.38,POINT (425436 6695410),Peruskoulut,2022,08847,Albert Edelfeltin koulu,0,11,425436,6695410
oppilaitokset.39,POINT (435181 7153928),Peruskoulut,2022,04498,Aleksanterin koulu,0,11,435181,7153928
oppilaitokset.40,POINT (345965 6669910),Peruskoulut,2022,03380,Aleksis Kiven koulu,0,11,345965,6669910
oppilaitokset.41,POINT (386387 6674122),Peruskoulut,2022,03002,Aleksis Kiven peruskoulu,0,11,386387,6674122
oppilaitokset.42,POINT (286827 6699355),Peruskoulut,2022,08524,Alhaisten koulu,0,11,286827,6699355
oppilaitokset.43,POINT (313202 6821982),Peruskoulut,2022,03383,Alhoniityn koulu,0,11,313202,6821982
oppilaitokset.44,POINT (422460 6762932),Peruskouluasteen erityiskoulut,2022,03812,Ali-Juhakkalan koulu,0,12,422460,6762932
oppilaitokset.45,POINT (396169 6697215),Peruskoulut,2022,08903,Ali-Keravan koulu,0,11,396169,6697215
oppilaitokset.46,POINT (385765 6674640),Lukiot,2022,00004,Alppilan lukio,0,15,385765,6674640
oppilaitokset.47,POINT (356757 7040381),Peruskoulut,2022,03837,Alvarin koulu,0,11,356757,7040381
oppilaitokset.48,POINT (364962 6787543),Peruskoulut,2022,08121,Alvettulan koulu,0,11,364962,6787543
oppilaitokset.49,POINT (263271 6678149),Peruskoulut,2022,03256,Amosparkens skola,0,11,263271,6678149
oppilaitokset.50,POINT (489734 6728166),Peruskoulut,2022,07811,Anjalan koulu,2,11,489734,6728166
oppilaitokset.51,POINT (365988 6803305),Peruskoulut,2022,00028,Anna Tapion koulu,0,11,365988,6803305
oppilaitokset.52,POINT (334668 6818425),Peruskoulut,2022,03379,Annalan koulu,0,11,334668,6818425
oppilaitokset.53,POINT (381626 7176225),Peruskoulut,2022,08842,Antinkankaan koulu,0,11,381626,7176225
oppilaitokset.54,POINT (395352 6707850),Peruskoulut,2022,08103,Anttilan koulu,0,11,395352,6707850
oppilaitokset.55,POINT (609715 6863131),Peruskoulut,2022,07161,Anttolan koulu,0,11,609715,6863131
oppilaitokset.56,POINT (534391 6828008),Peruskoulut,2022,06133,Anttolan yhtenäiskoulu,0,11,534391,6828008
oppilaitokset.57,POINT (381346 6680644),Perus- ja lukioasteen koulut,2022,03391,Apollon yhteiskoulu,0,19,381346,6680644
oppilaitokset.58,POINT (387743 6675892),Peruskoulut,2022,03743,Arabian peruskoulu,0,11,387743,6675892
oppilaitokset.59,POINT (375430 6695869),Lukiot,2022,00007,Arkadian yhteislyseon lukio,0,15,375430,6695869
oppilaitokset.60,POINT (284159 6702423),Peruskoulut,2022,08376,Armfeltin koulu,0,11,284159,6702423
oppilaitokset.61,POINT (250980 6931121),Peruskoulut,2022,07023,Aron koulu,0,11,250980,6931121
oppilaitokset.62,POINT (381322 7324723),Peruskoulut,2022,04002,Arpelan koulu,0,11,381322,7324723
oppilaitokset.63,POINT (663537 6889488),Peruskoulut,2022,05105,Arppen koulu,0,11,663537,6889488
oppilaitokset.64,POINT (331261 6785366),Peruskoulut,2022,08226,Arvo Ylpön koulu,0,11,331261,6785366
oppilaitokset.65,POINT (424975 7231544),Peruskoulut,2022,04400,Aseman koulu,0,11,424975,7231544
oppilaitokset.66,POINT (473300 6908137),Peruskoulut,2022,04522,Aseman koulu,0,11,473300,6908137
oppilaitokset.67,POINT (325876 6947811),Peruskoulut,2022,05311,Aseman koulu,0,11,325876,6947811
oppilaitokset.68,POINT (272732 6983717),Peruskoulut,2022,06948,Aseman koulu,0,11,272732,6983717
oppilaitokset.69,POINT (427681 7244895),Peruskoulut,2022,07783,Aseman koulu,0,11,427681,7244895
oppilaitokset.70,POINT (510486 6714671),Peruskoulut,2022,07794,Aseman koulu,0,11,510486,6714671
oppilaitokset.71,POINT (318371 6774306),Peruskoulut,2022,07992,Aseman koulu,0,11,318371,6774306
oppilaitokset.72,POINT (382475 6724163),Peruskoulut,2022,08086,Aseman koulu,0,11,382475,6724163
oppilaitokset.73,POINT (224431 6735063),Peruskoulut,2022,08464,Aseman koulu,0,11,224431,6735063
oppilaitokset.74,POINT (340990 6683743),Peruskoulut,2022,08013,Asemanpellon koulu,0,11,340990,6683743
oppilaitokset.75,POINT (277552 6745822),Peruskoulut,2022,07956,Asemanseudun koulu,0,11,277552,6745822
oppilaitokset.76,POINT (219295 6726189),Peruskoulut,2022,04614,Askaisten koulu,0,11,219295,6726189
oppilaitokset.77,POINT (377053 6684505),Peruskoulut,2022,03498,Askiston koulu,0,11,377053,6684505
oppilaitokset.78,POINT (423361 6711566),Peruskoulut,2022,07253,"Askolan koulu, alakoulu",0,11,423361,6711566
oppilaitokset.79,POINT (422374 6710897),Peruskoulut,2022,07251,"Askolan koulu, yläkoulu",0,11,422374,6710897
oppilaitokset.80,POINT (419583 6707294),Lukiot,2022,00009,Askolan lukio,0,15,419583,6707294
oppilaitokset.81,POINT (335934 6823255),Peruskoulut,2022,03500,Atalan koulu,0,11,335934,6823255
oppilaitokset.82,POINT (236222 6711903),Peruskoulut,2022,08548,Aunelan koulu,0,11,236222,6711903
oppilaitokset.83,POINT (258931 6731920),Peruskoulut,2022,08363,Auran yhtenäiskoulu,0,11,258931,6731920
oppilaitokset.84,POINT (245474 6712634),Peruskoulut,2022,04021,Auranlaakson koulu,0,11,245474,6712634
oppilaitokset.85,POINT (394779 6683471),Peruskoulut,2022,03851,Aurinkokiven koulu,0,11,394779,6683471
oppilaitokset.86,POINT (397194 6675516),Peruskoulut,2022,03724,Aurinkolahden peruskoulu,0,11,397194,6675516
oppilaitokset.87,POINT (534055 6967615),Peruskoulut,2022,03732,Aurinkorinteen koulu,0,11,534055,6967615
oppilaitokset.88,POINT (372922 6680247),Peruskoulut,2022,03118,Auroran koulu,0,11,372922,6680247
oppilaitokset.89,POINT (226457 6820646),Peruskoulut,2022,03814,Auroran koulu,0,11,226457,6820646
oppilaitokset.90,POINT (371386 6678495),Peruskoulut,2022,03147,Bemböle skola,1,11,371386,6678495
oppilaitokset.91,POINT (291544 7060570),Peruskoulut,2022,05436,Bennäs skola,0,11,291544,7060570
oppilaitokset.92,POINT (205633 6995304),Peruskoulut,2022,07928,Bergö skola,0,11,205633,6995304
