oppilaitostyyppi_nimi,oppilaitosnumero,on_alt,oppilaitoksen_nimi,oppilaitostyyppi,postinumeroalue,postinumeroalue_nimi,kunta,asukkaat_yht,koulutus_kantaluku,koulutus_alempi_kork,koulutus_ylempi_kork,asukkaiden_mediaanitulo,tyollisyys_tyolliset,suomen_kieli_ja_kirjallisuus,suomi_toisena_kielena_ja_kirjallisuus,suomi_s2_osuus,ruotsin_kieli_ja_kirjallisuus,ruotsi_toisena_kielena_ja_kirjallisuus,ruotsi_s2_osuus,oppilaita_yhteensa,oppilaat_opla,erotus,kunta_nimi,maakunta,maakunta_nimi,kieli,tyollisyys_18_74,ka_pitka,keskiarvo,luokat
Peruskoulut,08871,8871,Aapiskujan koulu,11,62800,Vimpeli Keskus,934,2155,1770,166,104,20781,839,111,,0,,,0,111,158,47,Vimpeli,14,Etelä-Pohjanmaa,1,1478,,0,1–4
Peruskoulut,03117,3117,Aarnivalkean koulu,11,02100,Tapiola,049,6025,5291,907,1928,30435,2846,270,33,11,,,0,303,296,−7,Espoo,01,Uusimaa,1,4455,,0,1–6
Peruskouluasteen erityiskoulut,03874,3874,Aavan koulu,12,12380,Leppäkoski,165,493,386,40,18,23916,222,12,,0,,,0,12,22,10,Janakkala,05,Kanta-Häme,1,342,"6,591911765","6,59",4–9
Peruskoulut,03584,3584,Ahjon koulu,11,04220,Ahjo-Kaskela,245,5254,4000,507,419,26683,2618,153,36,19,,,0,189,189,0,Kerava,01,Uusimaa,1,3835,,0,1–6
Peruskoulut,05773,5773,Ahlaisten koulu,11,29700,Ahlainen,609,722,624,42,23,20015,248,54,,0,,,0,54,57,3,Pori,04,Satakunta,1,520,,0,1–6
Peruskoulut,08458,8458,Ahlströmin alakoulu,11,29900,Merikarvia Keskus-Rannikko,484,2173,1804,165,79,20380,737,195,4,2,,,0,198,199,1,Merikarvia,04,Satakunta,1,1406,,0,1–6
Peruskouluasteen erityiskoulut,08374,8374,Ahmasojan koulu,12,27500,Kauttua,050,3045,2425,240,137,24912,1364,66,,0,,,0,66,65,−1,Eura,04,Satakunta,1,2104,"7,234625668","7,23",1–9
Peruskoulut,07735,7735,Ahmon koulu,11,71800,Siilinjärvi Keskus,749,10476,8119,1061,729,23696,4381,534,4,1,,,0,534,556,22,Siilinjärvi,11,Pohjois-Savo,1,6924,"7,916865356","7,92",7–9
Peruskoulut,06811,6811,Ahokkalan koulu,11,80850,Paihola,276,566,421,46,27,23591,231,63,,0,,,,63,66,3,Kontiolahti,12,Pohjois-Karjala,1,389,,0,1–6
Peruskoulut,07046,7046,Ahonkylän koulu,11,60720,Tuomikylä,145,2390,1660,356,169,27195,1207,264,4,1,,,0,267,268,1,Ilmajoki,14,Etelä-Pohjanmaa,1,1554,,0,1–6
Peruskoulut,06565,6565,Ahteen koulu,11,85630,Sarjanahde,535,599,345,31,15,24236,203,105,,0,,,0,105,106,1,Nivala,17,Pohjois-Pohjanmaa,1,304,,0,1–6
Peruskoulut,03636,3636,Ahtialan peruskoulu,11,15320,Ahtiala,398,3104,2254,372,283,26617,1390,690,18,3,,,0,702,750,48,Lahti,07,Päijät-Häme,1,2100,"7,759633657","7,76",1–9
Peruskoulut,08656,8656,Ahvenisjärven koulu,11,33720,Hervanta,837,25620,21941,2911,2777,18104,9808,555,354,39,,,0,906,963,57,Tampere,06,Pirkanmaa,1,20131,"7,758284513","7,76",1–9
Peruskoulut,04397,4397,Ainiovaaran peruskoulu,11,95600,Ylitornio Keskus,976,1910,1672,153,85,21177,648,51,4,7,,,0,54,228,174,Ylitornio,19,Lappi,1,1299,"7,701014199","7,7",1–9
Peruskoulut,04753,4753,Aitoon koulu,11,36720,Aitoo,635,536,435,46,35,21191,195,45,,0,,,0,45,49,4,Pälkäne,06,Pirkanmaa,1,363,,0,1–6
Peruskoulut,06616,6616,Aittakorven koulu,11,48400,Sutela,285,3964,3238,433,254,24245,1633,201,24,11,,,0,225,229,4,Kotka,08,Kymenlaakso,1,2700,,0,1–5
Peruskoulut,06566,6566,Aittolan koulu,11,85560,Ainastalo,535,439,330,28,10,22151,176,45,,0,,,0,45,44,−1,Nivala,17,Pohjois-Pohjanmaa,1,293,,0,1–6
Peruskoulut,05555,5555,Alahärmän Kirkonkylän koulu,11,62300,Härmä,233,2269,1813,177,82,21777,888,282,15,5,,,0,297,305,8,Kauhava,14,Etelä-Pohjanmaa,1,1505,"7,707983193","7,71",1–9
Peruskoulut,06593,6593,Alajärven yläkoulu,11,62900,Alajärvi Keskus,005,4517,3544,292,187,20677,1631,345,4,1,,,0,348,371,23,Alajärvi,14,Etelä-Pohjanmaa,1,2933,"7,799030749","7,8",1–9
Peruskoulut,04279,4279,Alakorkalon koulu,11,96700,Niskanperä,698,744,558,90,65,27286,362,60,4,7,,,0,60,59,−1,Rovaniemi,19,Lappi,1,523,,0,1–6
Peruskoulut,06899,6899,Alakylän koulu,11,60320,Alakylä-Jouppi,743,7483,5979,986,598,23745,3514,291,4,1,,,0,294,296,2,Seinäjoki,14,Etelä-Pohjanmaa,1,5437,,0,1–6
Peruskoulut,06594,6594,Alakylän koulu,11,62710,Kurejoki,005,734,563,41,29,19166,282,45,,0,,,0,45,59,14,Alajärvi,14,Etelä-Pohjanmaa,1,480,,0,1–6
Peruskoulut,06548,6548,Alakylän koulu,11,90910,Kontio,564,1655,1021,162,133,27475,684,255,,0,,,0,255,269,14,Oulu,17,Pohjois-Pohjanmaa,1,968,,0,1–6
Peruskoulut,04108,4108,Alakylän koulu,11,97470,Alakylä-Sailehto,261,140,119,5,4,21069,59,27,,0,,,0,27,34,7,Kittilä,19,Lappi,1,97,,0,1–6
Peruskoulut,06788,6788,Alanurmon koulu,11,62100,Lapua Keskus,408,10824,8425,1053,685,22906,4444,135,,0,,,0,135,135,0,Lapua,14,Etelä-Pohjanmaa,1,7204,,0,1–6
Peruskoulut,06018,6018,Alapitkän koulu,11,71910,Alapitkä,402,729,612,73,32,23395,351,75,,0,,,0,75,77,2,Lapinlahti,11,Pohjois-Savo,1,553,,0,1–6
Peruskoulut,07782,7782,Alarannan koulu,11,91100,Ii Keskus,139,6626,4645,604,321,23842,2548,117,,0,,,0,117,115,−2,Ii,17,Pohjois-Pohjanmaa,1,4147,,0,1–6
Peruskoulut,07903,7903,Alasenjärven peruskoulu,11,15300,Myllypohja-Koiskala,398,4059,3192,438,274,23555,1731,495,21,4,,,0,516,515,−1,Lahti,07,Päijät-Häme,1,2918,,0,1–6
Peruskoulut,06252,6252,Alavieskan yhtenäiskoulu,11,85200,Alavieska Keskus,009,2001,1519,128,59,21711,781,336,4,1,,,0,336,376,40,Alavieska,17,Pohjois-Pohjanmaa,1,1272,"7,57394958","7,57",1–9
Peruskoulut,06931,6931,Alaviitalan koulu,11,61120,Louko,743,666,495,75,32,25893,324,90,4,4,,,0,90,90,0,Seinäjoki,14,Etelä-Pohjanmaa,1,442,,0,1–6
Peruskoulut,05295,5295,Alavuden yläkoulu,11,63300,Alavus Keskus,010,4758,3777,365,214,20891,1726,312,4,1,,,0,312,323,11,Alavus,14,Etelä-Pohjanmaa,1,3013,"7,796697626","7,8",7–9
Peruskoulut,03148,3148,Alberga skola,11,02650,Pohjois-Leppävaara,049,11050,9303,1730,2210,26607,5658,,,0,87,,0,87,88,1,Espoo,01,Uusimaa,2,8497,,0,1–6
Peruskoulut,08847,8847,Albert Edelfeltin koulu,11,06100,Porvoo Keskus,638,19118,15749,2190,2371,25253,8293,579,57,9,,198,31,636,652,16,Porvoo,01,Uusimaa,1,13221,"8,109457672","8,11",1–9
Peruskoulut,04498,4498,Aleksanterin koulu,11,92500,Rantsila Keskus,791,1407,1120,79,29,19404,525,108,,0,,,0,108,108,0,Siikalatva,17,Pohjois-Pohjanmaa,1,902,,0,1–6
Peruskoulut,03380,3380,Aleksis Kiven koulu,11,02580,Siuntio Asemanseutu,755,3463,2694,356,411,26605,1605,486,,0,,,0,486,488,2,Siuntio,01,Uusimaa,1,2387,"7,990886495","7,99",1–9
Peruskoulut,03002,3002,Aleksis Kiven peruskoulu,11,00510,Alppila - Vallila,091,9536,8792,1813,2238,25688,5793,477,51,10,,,0,528,524,−4,Helsinki,01,Uusimaa,1,8309,"8,184584178","8,18",1–9
Peruskoulut,08524,8524,Alhaisten koulu,11,24130,Ylhäisi,734,3593,2833,360,255,23282,1527,249,15,6,,,0,264,268,4,Salo,02,Varsinais-Suomi,1,2449,,0,1–6
Peruskoulut,03383,3383,Alhoniityn koulu,11,37130,Alhoniitty,536,4452,3466,446,355,24853,1987,303,6,2,,,0,309,337,28,Nokia,06,Pirkanmaa,1,3174,"7,939338235","7,94",1–9
Peruskoulut,08903,8903,Ali-Keravan koulu,11,04250,Alikerava,245,5175,4280,437,348,23456,2398,60,18,24,,,0,75,79,4,Kerava,01,Uusimaa,1,3872,,0,1–2
Peruskoulut,03837,3837,Alvarin koulu,11,63100,Kuortane Keskus,300,1482,1251,137,86,21183,525,45,,0,,,0,45,175,130,Kuortane,14,Etelä-Pohjanmaa,1,936,,0,1–6
Peruskoulut,08121,8121,Alvettulan koulu,11,14680,Alvettula,109,570,462,40,32,22517,222,39,4,10,,,0,42,43,1,Hämeenlinna,05,Kanta-Häme,1,393,,0,1–6
Peruskoulut,03256,3256,Amosparkens skola,11,25700,Kemiö Keskus,322,2320,1899,209,129,21697,870,,,0,141,4,3,144,144,0,Kemiönsaari,02,Varsinais-Suomi,2,1516,,0,1–6
Peruskoulut,07811,7811,Anjalan koulu,11,46810,Ummeljoki,286,1348,1126,97,31,22681,542,123,4,3,,,0,126,128,2,Kouvola,08,Kymenlaakso,1,966,,0,
Peruskoulut,00028,28,Anna Tapion koulu,11,36720,Aitoo,635,536,435,46,35,21191,195,225,,0,,,0,225,240,15,Pälkäne,06,Pirkanmaa,1,363,"7,999159664",8,7–9
Peruskoulut,03379,3379,Annalan koulu,11,33710,Kaukajärvi,837,18254,14630,2038,2226,22330,7825,546,66,11,,,0,609,641,32,Tampere,06,Pirkanmaa,1,13117,,0,1–6
Peruskoulut,08842,8842,Antinkankaan koulu,11,92130,Isoholmi-Antinkangas,678,3103,2456,274,199,24320,1187,384,15,4,,,0,399,424,25,Raahe,17,Pohjois-Pohjanmaa,1,2049,"8,6","8,6",1–9
Peruskoulut,08103,8103,Anttilan koulu,11,04410,Järvenpää Keskus,186,12244,9960,1247,921,24541,5608,381,18,5,,,0,399,399,0,Järvenpää,01,Uusimaa,1,8861,,0,1–6
Peruskoulut,07161,7161,Anttolan koulu,11,58410,Haapakallio,740,601,457,55,30,23766,273,99,,0,,,0,99,99,0,Savonlinna,10,Etelä-Savo,1,411,,0,1–6
Peruskoulut,06133,6133,Anttolan yhtenäiskoulu,11,52100,Anttola,491,1382,1179,106,80,21307,512,132,4,3,,,0,132,138,6,Mikkeli,10,Etelä-Savo,1,949,"7,948096886","7,95",1–9
Perus- ja lukioasteen koulut,03391,3391,Apollon yhteiskoulu,19,00410,Malminkartano,091,9396,7616,1252,1041,23263,4269,165,102,38,,,0,267,492,225,Helsinki,01,Uusimaa,1,7206,"7,648918685","7,65",7–9
Peruskoulut,03743,3743,Arabian peruskoulu,11,00560,Toukola - Kumpula - Vanhakaupunki,091,13837,11315,2272,3251,26788,6996,789,63,7,,,0,849,853,4,Helsinki,01,Uusimaa,1,10629,"8,316176471","8,32",1–9
Peruskoulut,08376,8376,Armfeltin koulu,11,24800,Halikko Keskus,734,4550,3827,428,315,22215,1899,717,42,6,,,0,756,755,−1,Salo,02,Varsinais-Suomi,1,3176,"7,654787315","7,65",1–9
Peruskoulut,07023,7023,Aron koulu,11,61800,Kauhajoki Keskus,232,7865,6413,534,319,21065,3063,117,6,5,,,0,123,148,25,Kauhajoki,14,Etelä-Pohjanmaa,1,5412,,0,1–6
Peruskoulut,04002,4002,Arpelan koulu,11,95590,Arpela,851,802,657,53,27,22863,319,60,4,6,,,0,63,62,−1,Tornio,19,Lappi,1,572,,0,1–6
Peruskoulut,05105,5105,Arppen koulu,11,82500,Kitee Keskus,260,5703,4849,368,251,19117,1793,453,30,6,,,0,483,499,16,Kitee,12,Pohjois-Karjala,1,3862,"7,813284314","7,81",1–9
Peruskoulut,08226,8226,Arvo Ylpön koulu,11,37800,Toijala keskus,020,9363,7519,787,652,22682,3918,273,6,2,,,0,279,332,53,Akaa,06,Pirkanmaa,1,6499,,0,1–5
Peruskoulut,08086,8086,Aseman koulu,11,05800,Hyvinkää Keskus,106,9943,8716,1085,758,22876,4123,348,72,17,,,0,417,424,7,Hyvinkää,01,Uusimaa,1,7114,,0,1–6
Peruskoulut,08464,8464,Aseman koulu,11,23100,Mynämäki Keskus,503,5972,4895,465,305,22791,2589,39,,0,,,0,39,41,2,Mynämäki,02,Varsinais-Suomi,1,4100,,0,1–6
Peruskoulut,07992,7992,Aseman koulu,11,31700,Urjala Asemanseutu-Hanhisuo,887,1403,1137,85,45,21343,542,105,,0,,,0,105,106,1,Urjala,06,Pirkanmaa,1,971,,0,1–6
Peruskoulut,04522,4522,Aseman koulu,11,41500,Hankasalmi Asemanseutu,077,1250,1048,68,46,19210,432,102,,0,,,0,102,117,15,Hankasalmi,13,Keski-Suomi,1,867,,0,1–6
Peruskoulut,07794,7794,Aseman koulu,11,49400,Hamina Keskus,075,9713,8274,835,588,22071,3611,150,24,14,,,0,174,192,18,Hamina,08,Kymenlaakso,1,6612,"7,475","7,48",1–6
Peruskoulut,06948,6948,Aseman koulu,11,61410,Ylistaro Asemanseutu,743,723,574,65,24,23096,322,42,,0,,,0,42,43,1,Seinäjoki,14,Etelä-Pohjanmaa,1,503,,0,1–6
Peruskoulut,05311,5311,Aseman koulu,11,63400,Alavus Asemanseutu,010,1203,979,64,23,19882,454,108,,0,,,0,108,115,7,Alavus,14,Etelä-Pohjanmaa,1,839,,0,1–6
